Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,8.741494,8.854444,8.266736,8.590815,8.590815,36510229
2021-06-16,8.529383,8.529409,7.764023,7.828213,7.828213,24894560
2021-06-17,7.867902,9.084933,7.811931,8.349407,8.349407,29090822
2021-06-18,8.361794,8.386078,7.338309,7.606790,7.606790,20664321
2021-06-19,7.589173,8.038415,7.465260,7.813158,7.813158,18981737
2021-06-20,7.788975,7.877400,7.002372,7.658027,7.658027,20678031
2021-06-21,7.657486,7.720573,6.301065,6.328731,6.328731,33063401
2021-06-22,6.325770,6.732031,4.888858,5.606550,5.606550,32184130
2021-06-23,5.606530,6.454405,5.409091,6.068523,6.068523,22713241
2021-06-24,5.872438,6.160601,5.557262,6.113011,6.113011,18890186
2021-06-25,6.119246,6.239494,5.416908,5.512323,5.512323,19519419
2021-06-26,5.511821,5.667532,5.116225,5.364519,5.364519,19871742
2021-06-27,5.383350,5.802756,5.311511,5.799432,5.799432,18981380
2021-06-28,5.812209,6.828247,5.689015,6.726863,6.726863,25803314
2021-06-29,6.746729,7.449703,6.651700,6.963734,6.963734,29291559
2021-06-30,6.952233,7.065994,6.360057,6.924140,6.924140,26071453
2021-07-01,6.924953,7.043343,6.381171,6.570137,6.570137,22810268
2021-07-02,6.570069,6.815907,6.423740,6.658048,6.658048,21400267
2021-07-03,6.653348,7.008063,6.573850,6.721298,6.721298,21861304
2021-07-04,6.721842,7.392233,6.706248,7.111911,7.111911,17565581
2021-07-05,7.099796,7.463731,6.750952,7.324075,7.324075,25989907
2021-07-06,7.322409,8.111239,7.314700,7.667161,7.667161,29963079
2021-07-07,7.667781,8.293686,7.503898,7.523196,7.523196,37087908
2021-07-08,7.525019,7.583587,6.834213,6.938635,6.938635,40415785
2021-07-09,6.942428,7.096338,6.619302,6.966667,6.966667,24078030
2021-07-10,6.960191,7.048551,6.611164,6.802597,6.802597,16215296
2021-07-11,6.801133,7.144911,6.572076,6.918628,6.918628,17705587
2021-07-12,6.918427,8.299737,6.884886,7.568593,7.568593,54649677
2021-07-13,7.562114,7.565078,6.815733,6.906542,6.906542,27462668
2021-07-14,6.892484,6.943722,6.519887,6.817042,6.817042,32056294
2021-07-15,6.810029,7.725497,6.751063,7.249810,7.249810,28677989
2021-07-16,7.285541,7.400474,6.563214,6.572689,6.572689,22288464
2021-07-17,6.565894,6.605932,6.160877,6.164157,6.164157,18267323
2021-07-18,6.176180,6.394391,6.161888,6.243234,6.243234,16983056
2021-07-19,6.243022,6.275063,5.558865,5.564269,5.564269,17106944
2021-07-20,5.563323,5.610196,4.976322,5.202583,5.202583,20667320
2021-07-21,5.202632,6.146416,5.058095,5.753435,5.753435,22446034
2021-07-22,5.748697,5.807813,5.483928,5.625420,5.625420,18669604
2021-07-23,5.622557,5.871786,5.531104,5.852010,5.852010,19964053
2021-07-24,5.866793,5.995486,5.721702,5.900045,5.900045,20620875
